"DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","HPM","APM","HB","AB","WIN"
"99",20141110,"CLE",118,27,54,13,27,25,30,12,33,26,3,9,5,13,"NOP",111,29,66,12,27,17,20,14,26,31,8,5,5,20,"0.493827160493827","0.440860215053763","0.333333333333333","1.6","Home"
"100",20141110,"IND",97,33,75,6,15,13,15,13,31,16,3,7,3,19,"UTA",86,26,53,6,21,16,21,5,32,18,5,11,6,18,"0.433333333333333","0.432432432432432","0.428571428571429","0.454545454545455","Home"
"101",20141110,"LAC",85,28,52,5,22,14,17,8,36,26,6,15,8,20,"SAS",89,31,64,2,19,21,27,10,29,20,11,8,4,17,"0.445945945945946","0.397590361445783","0.4","1.375","Away"
"102",20141110,"NYK",85,30,57,6,26,7,12,11,29,23,4,15,2,26,"ATL",91,17,44,10,27,27,28,9,29,20,7,15,3,16,"0.433734939759036","0.380281690140845","0.266666666666667","0.466666666666667","Away"
"103",20141111,"DAL",106,28,53,10,27,20,24,9,24,23,8,11,8,29,"SAC",98,23,53,9,19,25,32,12,31,17,5,20,1,32,"0.475","0.444444444444444","0.727272727272727","0.25","Home"
"104",20141111,"GSW",100,31,50,7,20,17,20,1,37,23,5,19,4,16,"SAS",113,36,68,10,25,11,15,8,28,28,9,8,1,19,"0.542857142857143","0.494623655913978","0.263157894736842","1.125","Away"
"105",20141111,"MEM",107,37,67,4,11,21,26,12,26,21,8,13,2,18,"LAL",102,34,65,7,22,13,17,15,23,22,8,13,6,22,"0.525641025641026","0.471264367816092","0.615384615384615","0.615384615384615","Home"
"106",20141111,"MIL",85,30,66,3,15,16,24,14,37,18,5,16,6,22,"OKC",78,23,67,6,20,14,19,13,33,15,6,15,5,22,"0.407407407407407","0.333333333333333","0.3125","0.4","Home"
"107",20141111,"POR",102,32,68,8,25,14,16,15,33,25,6,12,4,21,"CHA",100,28,59,7,16,23,27,6,32,16,5,13,3,16,"0.43010752688172","0.466666666666667","0.5","0.384615384615385","Home"
"108",20141111,"TOR",104,26,56,9,21,25,30,5,35,16,9,12,1,17,"ORL",100,27,56,12,25,10,16,6,33,26,8,16,5,24,"0.454545454545455","0.481481481481481","0.75","0.5","Home"
"109",20141112,"ATL",100,30,56,9,20,13,18,13,33,23,8,18,4,12,"UTA",97,38,63,5,23,6,12,8,22,28,12,11,8,17,"0.513157894736842","0.5","0.444444444444444","1.09090909090909","Home"
"110",20141112,"BOS",94,28,50,9,33,11,13,7,28,28,5,8,3,20,"OKC",109,30,58,10,24,19,22,8,33,23,1,8,3,13,"0.44578313253012","0.48780487804878","0.625","0.125","Away"
"111",20141112,"DEN",113,31,67,8,23,27,33,15,32,21,10,12,2,24,"POR",130,29,55,16,33,24,29,12,34,30,7,14,9,21,"0.433333333333333","0.511363636363636","0.833333333333333","0.5","Away"
"112",20141112,"MIA",75,20,48,9,20,8,18,6,22,18,11,9,5,18,"IND",81,22,54,8,26,13,15,16,37,13,5,15,5,17,"0.426470588235294","0.375","1.22222222222222","0.333333333333333","Away"
"113",20141112,"MIN",101,30,69,6,12,23,30,9,32,22,6,13,6,17,"HOU",113,30,61,13,28,14,19,13,27,25,7,13,7,29,"0.444444444444444","0.48314606741573","0.461538461538462","0.538461538461538","Away"
"114",20141112,"NOP",109,37,63,8,19,11,18,8,36,27,3,13,12,24,"LAL",102,28,63,7,21,25,32,11,27,15,8,9,5,14,"0.548780487804878","0.416666666666667","0.230769230769231","0.888888888888889","Home"
"115",20141112,"NYK",95,29,63,8,23,13,14,11,29,17,2,7,6,27,"ORL",97,27,58,6,12,25,32,4,33,20,4,10,1,19,"0.430232558139535","0.471428571428571","0.285714285714286","0.4","Away"
"116",20141112,"PHX",112,31,57,8,24,26,29,12,32,20,10,20,2,22,"BKN",104,26,53,9,21,25,32,8,29,17,9,19,4,25,"0.481481481481481","0.472972972972973","0.5","0.473684210526316","Home"
"117",20141112,"WAS",107,37,72,3,11,24,33,11,35,27,10,11,6,22,"DET",103,29,59,9,22,18,22,7,32,19,5,13,6,25,"0.481927710843373","0.469135802469136","0.909090909090909","0.384615384615385","Home"
"118",20141113,"DAL",123,30,48,11,32,30,36,9,42,33,14,15,5,25,"PHI",70,16,50,7,27,17,33,18,28,9,7,27,4,24,"0.5125","0.298701298701299","0.933333333333333","0.259259259259259","Home"
"119",20141113,"GSW",107,30,56,11,34,14,21,14,31,30,7,10,10,16,"BKN",99,36,73,3,16,18,20,7,34,19,5,12,2,22,"0.455555555555556","0.438202247191011","0.7","0.416666666666667","Home"
"120",20141113,"MEM",111,33,68,6,9,27,34,8,22,24,9,9,4,25,"SAC",110,30,64,7,13,29,34,13,31,12,6,14,5,26,"0.506493506493506","0.480519480519481","1","0.428571428571429","Home"
"121",20141113,"TOR",93,27,64,8,25,15,21,13,25,17,11,14,7,28,"CHI",100,33,62,4,15,22,32,13,35,26,7,19,7,18,"0.393258426966292","0.480519480519481","0.785714285714286","0.368421052631579","Away"
"122",20141114,"ATL",114,31,47,11,28,19,23,3,33,33,10,13,5,20,"MIA",103,25,53,10,21,23,25,5,27,27,10,14,3,20,"0.56","0.472972972972973","0.769230769230769","0.714285714285714","Home"
"123",20141114,"BOS",121,42,68,6,20,19,23,8,31,32,7,14,1,26,"CLE",122,35,62,8,23,28,37,8,32,22,5,11,5,21,"0.545454545454545","0.505882352941176","0.5","0.454545454545455","Away"
"124",20141114,"HOU",88,22,44,7,34,23,37,13,34,16,17,21,11,25,"PHI",87,27,59,7,21,12,18,14,32,19,10,23,5,28,"0.371794871794872","0.425","0.80952380952381","0.434782608695652","Home"
"125",20141114,"IND",87,26,62,8,22,11,22,11,31,17,2,13,7,19,"DEN",108,35,64,8,23,14,25,13,33,20,8,8,5,25,"0.404761904761905","0.494252873563218","0.153846153846154","1","Away"
